"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LPAR6",2.78693195172151e-241,1.4260974750484,0.304,0.115,7.3884352972089e-237
"PPP2R4",4.28125917422715e-198,1.42461265827453,0.262,0.1,1.13500461967936e-193
"TNFAIP2",3.15531321318234e-259,1.42280825849011,0.412,0.192,8.3650508594677e-255
"ZCCHC11",3.32241046169812e-141,1.42131239586573,0.192,0.073,8.80804237500789e-137
"TNFSF10",0,1.41946406507706,0.438,0.165,0
"AGR2",0,1.41921125351481,0.407,0.153,0
"FAM134A",1.82519439689934e-177,1.41811573634802,0.242,0.093,4.83877286561985e-173
"RFWD2",7.64045409541885e-89,1.41601933419249,0.131,0.051,2.02556078523649e-84
"SNCG",2.4428907653206e-294,1.41541417950732,0.337,0.12,6.47634770794144e-290
"GRTP1",5.70826620527202e-70,1.41463608997856,0.109,0.044,1.51331845367967e-65
"EBLN3",1.63010893222046e-190,1.41259505424129,0.258,0.099,4.32158179020967e-186
"MAP3K1",1.82122367342503e-154,1.41108408642502,0.162,0.051,4.8282460806171e-150
"EXPH5",1.03365160420517e-73,1.40979291626589,0.122,0.051,2.74031376790833e-69
"ERBB2",2.27008492193906e-174,1.40425507186287,0.241,0.094,6.01822213655264e-170
"TM4SF1",0,1.399387610848,0.668,0.304,0
"PTGES",1.91186614523563e-102,1.39645167399613,0.107,0.033,5.06854833763419e-98
"ATP5O",0,1.39409364607699,0.587,0.22,0
"MESDC1",2.04213622868738e-111,1.39299242203699,0.162,0.063,5.41390735587312e-107
"C19orf43",0,1.3925436118116,0.598,0.224,0
"IGFBP3",4.66374794543387e-303,1.39195332695193,0.337,0.118,1.23640621781397e-298
"RND1",6.09826447484018e-127,1.39132970569816,0.155,0.054,1.61671089492488e-122
"OBFC1",1.25080092404651e-91,1.39094638350358,0.127,0.048,3.31599832973971e-87
"TMEM57",1.65996275114488e-91,1.38934948151857,0.139,0.055,4.40072724956018e-87
"RP11-12G12.7",5.19445819385626e-90,1.38804960608065,0.137,0.055,1.37710281177323e-85
"TFAP2C",3.43786769235318e-113,1.38636542008607,0.19,0.082,9.11413103919751e-109
"FGGY",2.07142024921535e-81,1.38616636562192,0.138,0.059,5.49154222269482e-77
"TNFRSF10D",4.67215800595079e-116,1.38474676524134,0.141,0.049,1.23863580895761e-111
"IRF6",3.25294065251832e-172,1.38106695790055,0.306,0.144,8.62387096389132e-168
"SELK",0,1.37850587361021,0.568,0.217,0
"WHSC1L1",3.31704864095611e-295,1.37806317911012,0.383,0.15,8.79382765203875e-291
"SCNN1A",4.2919093212084e-96,1.36935332996682,0.167,0.073,1.13782808014556e-91
"CTC-338M12.5",1.48298013434013e-62,1.3671409417095,0.101,0.041,3.93152863414913e-58
"SDC4",8.66424855808859e-249,1.36363483701836,0.445,0.231,2.29697893523487e-244
"PSCA",5.69118242831637e-163,1.36136620901023,0.239,0.095,1.50878937357095e-158
"YAP1",3.78176001990842e-182,1.35705404713585,0.235,0.088,1.00258239887792e-177
"C11orf57",1.17466208712788e-101,1.35252511730996,0.142,0.053,3.11414665918473e-97
"LINC00493",0,1.34665734811571,0.557,0.214,0
"EYA2",1.46814167740944e-93,1.34603201840128,0.162,0.07,3.89219040098016e-89
"IL20RA",9.31288558378028e-96,1.34581911252434,0.161,0.068,2.46893909711599e-91
"RP11-83A24.2",3.52208623650971e-108,1.34397320894004,0.173,0.072,9.3374028216109e-104
"SYCE1L",6.25501069868815e-172,1.34387025282658,0.301,0.139,1.65826588632922e-167
"ATP5H",0,1.34341088492308,0.535,0.206,0
"MESDC2",1.88583004341321e-168,1.3432773412351,0.245,0.097,4.99952402809275e-164
"ATP5A1",0,1.33990004279979,0.504,0.192,0
"GBAS",3.91452448572581e-230,1.33865653275475,0.319,0.126,1.03777958641077e-225
"MLLT4",7.57970428126282e-263,1.33469052855029,0.347,0.133,2.00945540200559e-258
"CRABP2",0,1.33069384947195,0.537,0.248,0
"C14orf2",0,1.32777877672783,0.623,0.239,0
"TCEB2",0,1.32771248021206,0.634,0.243,0
"KCTD1",4.15296591838663e-66,1.3270550414478,0.149,0.073,1.10099279462348e-61
"CPSF3L",2.01446227018072e-136,1.32549672496109,0.2,0.079,5.34054092447611e-132
"RAMP3",5.78930563405423e-100,1.32448750895106,0.123,0.043,1.53480281664412e-95
"CLCF1",6.2587975850741e-106,1.32328049959619,0.164,0.067,1.65926982777899e-101
"ATP5D",0,1.31832548729753,0.615,0.237,0
"RP11-352M15.2",8.9516850904883e-83,1.31774025318305,0.139,0.058,2.37318123433935e-78
"CCDC53",3.865219301943e-125,1.31569499001653,0.197,0.081,1.02470828913811e-120
"NPAS2",7.82934177316609e-65,1.31516302686851,0.105,0.043,2.07563679748406e-60
"IFT172",3.54278574080893e-76,1.31448309539558,0.119,0.048,9.39227927745856e-72
"C2CD4B",1.35732125286205e-96,1.31321386604438,0.112,0.037,3.59839437346257e-92
"LINC01420",0,1.30938777711773,0.453,0.178,0
"TOMM70A",5.67327706153635e-117,1.30844043313369,0.163,0.062,1.5040424817839e-112
"CRIM1",9.65996358840438e-226,1.30682982744825,0.245,0.08,2.56095294692188e-221
"CLDN5",3.14924649253652e-92,1.3020312927,0.118,0.042,8.34896737636357e-88
"TMEM30B",2.39876862645519e-136,1.29702323621313,0.237,0.105,6.35937550559536e-132
"JAM2",6.73192017903281e-75,1.29693058165232,0.108,0.041,1.78469935866339e-70
"RP11-467L13.7",6.59801448342861e-87,1.29652438004277,0.14,0.057,1.74919961970176e-82
"SEMA3C",9.95040655422807e-111,1.29540548670965,0.168,0.068,2.6379522815914e-106
"C9orf142",4.28165665091141e-280,1.29525476638247,0.376,0.145,1.13510999472312e-275
"TNFRSF21",6.96972017004405e-184,1.29390011000975,0.338,0.163,1.84774251428038e-179
"TTTY14",7.52164074236072e-81,1.28759675949639,0.14,0.06,1.99406217720725e-76
"CH17-340M24.3",3.8154225683578e-82,1.28728615558335,0.145,0.062,1.01150667709734e-77
"LYRM5",1.24760626900949e-156,1.28662701878937,0.237,0.096,3.30752897977105e-152
"MFSD14A",2.54667297448799e-89,1.28468325988222,0.141,0.057,6.75148472266511e-85
"ZNF90",8.44982101155093e-115,1.28391130745863,0.187,0.079,2.24013204837227e-110
"RARG",4.50000510981685e-126,1.28338290196735,0.146,0.049,1.19299635466355e-121
"FRMD6",1.1518249350105e-105,1.2824265507904,0.145,0.054,3.05360308520635e-101
"MYOF",6.11012713274735e-203,1.2799487854256,0.203,0.061,1.61985580416265e-198
"PCAT19",1.43569904865988e-101,1.27868243784487,0.155,0.062,3.80618174790222e-97
"ATP5E",0,1.27707579114016,0.644,0.245,0
"LYPD6B",2.22478586198361e-77,1.27647649606652,0.158,0.074,5.89812979870475e-73
"SELT",0,1.27603827660368,0.428,0.174,0
"MTUS1",3.07014111252601e-215,1.27305174296926,0.267,0.097,8.13925110341772e-211
"HN1L",8.19896137391564e-127,1.27089180343804,0.211,0.089,2.17362664983878e-122
"SHROOM1",9.67187770294083e-120,1.268677428029,0.228,0.106,2.56411149782664e-115
"LXN",1.76232338921281e-223,1.26666433830499,0.315,0.125,4.67209553714208e-219
"FAM103A1",3.57074478838792e-123,1.26408472547134,0.21,0.09,9.46640150849521e-119
"BARX2",1.35387903449284e-52,1.26289181906127,0.102,0.046,3.58926870834397e-48
"CDC42EP5",2.12437910852032e-238,1.26159516558801,0.25,0.078,5.63194145459822e-234
"RP11-51J9.5",2.1818813980737e-62,1.26117243046499,0.102,0.042,5.78438577443319e-58
"MID1",3.60738503761446e-82,1.2606365197552,0.154,0.069,9.5635384732197e-78
