"sample_id","MMP9","MMP2","MAPK3","MAPK1","TWIST1","SNAI1"
"TCGA-FC-A4JI-01",6.3717,7.9012,9.8178,11.7996,1.683,5.0144
"TCGA-HC-8264-01",3.716,12.3079,9.8588,11.9696,3.9281,4.4923
"TCGA-EJ-5507-01",8.0339,9.9861,9.7925,12.0074,5.0081,4.2503
"TCGA-EJ-5495-01",9.1423,11.5314,9.5495,11.9506,8.0171,5.7679
"TCGA-J9-A52D-01",7.0795,8.3652,9.8251,11.7374,8.4146,1.722
"TCGA-V1-A8MU-01",8.8675,11.9455,10.3392,11.4518,5.6811,6.503
"TCGA-EJ-5497-01",8.1778,11.3613,9.5252,12.0663,6.9641,5.1997
"TCGA-G9-6378-01",5.0448,12.5152,10.2784,11.7396,9.07,5.3684
"TCGA-EJ-7797-01",7.4062,10.4776,9.8271,11.6236,6.4087,4.253
"TCGA-ZG-A9L6-01",5.9207,12.2819,10.4538,11.5707,6.5956,6.2883
"TCGA-HC-A631-01",5.409,9.8721,10.3641,11.8273,9.2816,3.744
"TCGA-V1-A8WS-01",5.4634,10.3738,9.6967,11.6456,6.9745,5.0839
"TCGA-HC-A6AS-01",10.8708,12.1039,10.5897,10.5469,9.3123,6.6819
"TCGA-J9-A8CP-01",5.438,11.6543,10.5038,11.206,5.0081,6.7616
"TCGA-YL-A8HL-01",6.8971,9.2286,10.0148,11.5859,6.0158,4.3419
"TCGA-EJ-A7NF-01",8.9225,9.2764,9.6161,11.2348,7.9653,2.9621
"TCGA-EJ-7218-01",7.8585,10.2433,9.9506,11.552,5.2727,4.1746
"TCGA-HC-7740-01",5.8477,11.2395,10.4128,11.744,5.0849,6.1688
"TCGA-KK-A7AY-01",5.691,9.9732,9.7932,10.5876,9.6999,4.3527
"TCGA-CH-5790-01",8.8929,9.7242,9.621,11.765,7.6485,5.0004
"TCGA-CH-5769-01",6.3148,10.9456,9.8633,11.6611,7.041,5.7558
"TCGA-WW-A8ZI-01",8.0051,10.9484,10.1409,12.1025,4.2277,4.1267
"TCGA-G9-6347-01",8.8642,12.3472,10.5477,10.5973,6.8096,4.381
"TCGA-KK-A8IF-01",4.5258,10.2846,10.1783,11.2521,7.786,4.7851
"TCGA-2A-A8VX-01",2.0083,10.0382,9.9886,11.1432,9.2837,3.7651
"TCGA-HC-7233-01",8.0229,11.1355,9.6824,11.9074,5.1373,4.6624
"TCGA-Y6-A8TL-01",6.387,11.2166,9.7477,11.3927,7.8249,5.6921
"TCGA-XK-AAJP-01",3.6854,9.5623,10.1119,11.3717,6.9621,3.9432
"TCGA-HC-7748-01",8.0439,11.4529,9.5122,11.8314,6.5562,5.269
"TCGA-XJ-A83H-01",6.631,9.7335,9.4441,11.2373,6.8275,6.2086
"TCGA-KC-A7FD-01",6.9049,9.0942,9.1065,11.2909,8.0655,6.2221
"TCGA-FC-7961-01",6.8521,12.1678,9.7064,11.8868,8.5448,4.7868
"TCGA-EJ-A8FP-01",7.2034,10.8475,10.2283,11.4425,4.4445,5.0394
"TCGA-G9-A9S0-01",8.1175,10.1067,10.0884,10.7534,5.3106,4.4147
"TCGA-V1-A9OT-01",6.186,10.8251,9.7602,10.3845,10.0492,4.9812
"TCGA-ZG-A9N3-01",7.9516,8.7936,9.8526,11.1401,8.8874,5.969
"TCGA-VN-A88M-01",4.7061,10.1854,9.6529,10.9298,8.6109,5.4273
"TCGA-CH-5750-01",9.3699,10.0631,9.6201,11.6067,8.6008,6.2039
"TCGA-ZG-A9LU-01",8.2403,10.3451,10.8775,10.7747,4.3101,5.375
"TCGA-J9-A8CL-01",8.4931,12.2373,10.5996,11.1802,8.3932,5.0422
"TCGA-HC-A6AO-01",8.1812,8.9303,10.1863,10.7387,4.1798,5.3006
"TCGA-VP-AA1N-01",8.7367,11.8562,10.3794,11.4958,5.1057,6.7812
"TCGA-KK-A6E7-01",7.6048,10.1831,9.9656,11.2105,5.7641,4.7495
