"sample_id","SERPINB1_Beta","Gene","Expression"
"TCGA-EJ-5517-01",0.48085,"MAPK1",12.0601
"TCGA-EJ-5517-01",0.48085,"TWIST1",4.445
"TCGA-EJ-5517-01",0.48085,"SNAI1",4.5261
"TCGA-EJ-5518-01",0.53427,"MMP9",7.6022
"TCGA-EJ-5518-01",0.53427,"MMP2",11.2434
"TCGA-EJ-5518-01",0.53427,"MAPK3",9.8291
"TCGA-EJ-5518-01",0.53427,"MAPK1",11.8423
"TCGA-EJ-5518-01",0.53427,"TWIST1",6.037
"TCGA-EJ-5518-01",0.53427,"SNAI1",5.7654
"TCGA-EJ-5519-01",0.65521,"MMP9",8.0776
"TCGA-EJ-5519-01",0.65521,"MMP2",10.3687
"TCGA-EJ-5519-01",0.65521,"MAPK3",10.1477
"TCGA-EJ-5519-01",0.65521,"MAPK1",12.1371
"TCGA-EJ-5519-01",0.65521,"TWIST1",7.7485
"TCGA-EJ-5519-01",0.65521,"SNAI1",4.6419
"TCGA-EJ-5521-01",0.58004,"MMP9",8.348
"TCGA-EJ-5521-01",0.58004,"MMP2",10.5144
"TCGA-EJ-5521-01",0.58004,"MAPK3",10.3732
"TCGA-EJ-5521-01",0.58004,"MAPK1",11.6519
"TCGA-EJ-5521-01",0.58004,"TWIST1",6.6466
"TCGA-EJ-5521-01",0.58004,"SNAI1",4.7603
"TCGA-EJ-5522-01",0.44259,"MMP9",7.134
"TCGA-EJ-5522-01",0.44259,"MMP2",10.7357
"TCGA-EJ-5522-01",0.44259,"MAPK3",9.4622
"TCGA-EJ-5522-01",0.44259,"MAPK1",12.0922
"TCGA-EJ-5522-01",0.44259,"TWIST1",7.8712
"TCGA-EJ-5522-01",0.44259,"SNAI1",4.5046
"TCGA-EJ-5524-01",0.51178,"MMP9",7.6158
"TCGA-EJ-5524-01",0.51178,"MMP2",11.0661
"TCGA-EJ-5524-01",0.51178,"MAPK3",9.3948
"TCGA-EJ-5524-01",0.51178,"MAPK1",12.0692
"TCGA-EJ-5524-01",0.51178,"TWIST1",7.2149
"TCGA-EJ-5524-01",0.51178,"SNAI1",4.878
"TCGA-EJ-5525-01",0.74806,"MMP9",8.1181
"TCGA-EJ-5525-01",0.74806,"MMP2",11.9276
"TCGA-EJ-5525-01",0.74806,"MAPK3",9.3184
"TCGA-EJ-5525-01",0.74806,"MAPK1",11.9562
"TCGA-EJ-5525-01",0.74806,"TWIST1",7.4241
"TCGA-EJ-5525-01",0.74806,"SNAI1",6.4325
"TCGA-EJ-5526-01",0.57,"MMP9",8.6493
"TCGA-EJ-5526-01",0.57,"MMP2",10.7289
"TCGA-EJ-5526-01",0.57,"MAPK3",9.532
"TCGA-EJ-5526-01",0.57,"MAPK1",11.9118
"TCGA-EJ-5526-01",0.57,"TWIST1",8.4849
"TCGA-EJ-5526-01",0.57,"SNAI1",3.6702
"TCGA-EJ-5527-01",0.52176,"MMP9",7.6876
"TCGA-EJ-5527-01",0.52176,"MMP2",11.5477
"TCGA-EJ-5527-01",0.52176,"MAPK3",9.8845
"TCGA-EJ-5527-01",0.52176,"MAPK1",11.716
"TCGA-EJ-5527-01",0.52176,"TWIST1",6.9704
"TCGA-EJ-5527-01",0.52176,"SNAI1",5.4713
"TCGA-EJ-5530-01",0.70017,"MMP9",6.7362
"TCGA-EJ-5530-01",0.70017,"MMP2",11.1295
"TCGA-EJ-5530-01",0.70017,"MAPK3",9.3479
"TCGA-EJ-5530-01",0.70017,"MAPK1",11.7678
"TCGA-EJ-5530-01",0.70017,"TWIST1",8.0677
"TCGA-EJ-5530-01",0.70017,"SNAI1",4.4276
