"sample_id","SERPINB1_Beta"
"TCGA-ZG-A9L0-01",0.63369
"TCGA-ZG-A9L1-01",0.6876
"TCGA-ZG-A9L2-01",0.40301
"TCGA-ZG-A9L4-01",0.42727
"TCGA-ZG-A9L5-01",0.7135
"TCGA-ZG-A9L6-01",0.57315
"TCGA-ZG-A9L9-01",0.46867
"TCGA-ZG-A9LB-01",0.56842
"TCGA-ZG-A9LM-01",0.61597
"TCGA-ZG-A9LN-01",0.33523
"TCGA-ZG-A9LS-01",0.43362
"TCGA-ZG-A9LU-01",0.32828
"TCGA-ZG-A9LY-01",0.44896
"TCGA-ZG-A9LZ-01",0.6547
"TCGA-ZG-A9M4-01",0.58319
"TCGA-ZG-A9MC-01",0.3616
"TCGA-ZG-A9N3-01",0.27242
"TCGA-ZG-A9ND-01",0.70573
"TCGA-ZG-A9NI-01",0.63631
